ts,open,high,low,close,volume,volCcy,volCcyQuote,confirm
2024-07-18 20:00:00,7.232,7.274,7.227,7.251,384653.5052,2789231.4858062,2789231.4858062,1
2024-07-18 16:00:00,7.152,7.29,7.108,7.233,1466415.1503,10573554.3894541,10573554.3894541,1
2024-07-18 12:00:00,7.208,7.247,7.135,7.153,1247339.2664,8982274.8618758,8982274.8618758,1
2024-07-18 08:00:00,7.189,7.219,7.173,7.207,626395.3653,4508185.2411596,4508185.2411596,1
2024-07-18 04:00:00,7.179,7.266,7.145,7.188,1003138.9305,7228302.8971005,7228302.8971005,1
2024-07-18 00:00:00,7.096,7.182,7.087,7.179,691386.2238,4935336.1616333,4935336.1616333,1
2024-07-17 20:00:00,7.163,7.171,7.091,7.095,588953.2659,4197765.1070135,4197765.1070135,1
2024-07-17 16:00:00,7.256,7.256,7.131,7.162,1015958.5148,7299065.0118949,7299065.0118949,1
2024-07-17 12:00:00,7.206,7.301,7.198,7.256,1243166.3187,9007576.7140302,9007576.7140302,1
2024-07-17 08:00:00,7.302,7.311,7.197,7.206,1688459.0611,12239041.8326108,12239041.8326108,1
2024-07-17 04:00:00,7.274,7.33,7.269,7.301,692682.5388,5061637.825139,5061637.825139,1
2024-07-17 00:00:00,7.275,7.36,7.251,7.273,1117236.7661,8159544.0298553,8159544.0298553,1
2024-07-16 20:00:00,7.355,7.374,7.25,7.274,954006.248,6963596.65004,6963596.65004,1
2024-07-16 16:00:00,7.391,7.414,7.306,7.355,1085666.7905,7975987.6205809,7975987.6205809,1
2024-07-16 12:00:00,7.39,7.399,7.283,7.391,1448894.5778,10643485.0543397,10643485.0543397,1
2024-07-16 08:00:00,7.365,7.42,7.325,7.39,1567373.2897,11585076.0428791,11585076.0428791,1
2024-07-16 04:00:00,7.587,7.604,7.334,7.365,2399340.6341,17857840.1671449,17857840.1671449,1
2024-07-16 00:00:00,7.63,7.654,7.551,7.587,1012686.6972,7696190.3998581,7696190.3998581,1
2024-07-15 20:00:00,7.535,7.639,7.532,7.63,1027927.5694,7806018.1945755,7806018.1945755,1
2024-07-15 16:00:00,7.432,7.551,7.426,7.535,1669558.3,12515673.9480778,12515673.9480778,1
2024-07-15 12:00:00,7.41,7.463,7.396,7.432,827763.4089,6148817.1874765,6148817.1874765,1
2024-07-15 08:00:00,7.526,7.543,7.368,7.411,1697620.0559,12608859.7164432,12608859.7164432,1
2024-07-15 04:00:00,7.498,7.558,7.441,7.525,1096208.046,8224707.4807624,8224707.4807624,1
2024-07-15 00:00:00,7.422,7.542,7.421,7.498,1153732.1845,8633899.6328094,8633899.6328094,1
2024-07-14 20:00:00,7.314,7.466,7.309,7.422,981867.1489,7260378.0860769,7260378.0860769,1
2024-07-14 16:00:00,7.314,7.347,7.304,7.313,262668.5102,1924465.8850932,1924465.8850932,1
2024-07-14 12:00:00,7.315,7.338,7.276,7.313,645935.8121,4719666.5589603,4719666.5589603,1
2024-07-14 08:00:00,7.343,7.388,7.313,7.314,891248.2392,6558106.2519811,6558106.2519811,1
2024-07-14 04:00:00,7.273,7.351,7.267,7.342,705566.7665,5161633.3183565,5161633.3183565,1
2024-07-14 00:00:00,7.274,7.339,7.232,7.273,969242.4875,7063413.4691136,7063413.4691136,1
2024-07-13 20:00:00,7.306,7.32,7.254,7.274,530712.7657,3868291.4729691,3868291.4729691,1
2024-07-13 16:00:00,7.345,7.352,7.291,7.306,337084.0884,2465960.7121675,2465960.7121675,1
2024-07-13 12:00:00,7.342,7.37,7.285,7.346,651301.1443,4775981.6270819,4775981.6270819,1
2024-07-13 08:00:00,7.311,7.366,7.279,7.341,1418456.9914,10388066.5168117,10388066.5168117,1
2024-07-13 04:00:00,7.353,7.373,7.309,7.312,609290.0728,4474750.9534862,4474750.9534862,1
2024-07-13 00:00:00,7.336,7.371,7.321,7.354,664409.8627,4882964.7816972,4882964.7816972,1
2024-07-12 20:00:00,7.315,7.338,7.28,7.335,569555.2835,4164511.5075952,4164511.5075952,1
2024-07-12 16:00:00,7.312,7.335,7.268,7.314,695511.9011,5082282.5924708,5082282.5924708,1
2024-07-12 12:00:00,7.22,7.334,7.196,7.311,968647.7742,7031441.2118197,7031441.2118197,1
2024-07-12 08:00:00,7.333,7.351,7.206,7.22,1364637.9399,9925505.8730313,9925505.8730313,1
2024-07-12 04:00:00,7.362,7.383,7.297,7.332,1017215.28,7467959.9677249,7467959.9677249,1
2024-07-12 00:00:00,7.325,7.399,7.236,7.362,1946023.4517,14251863.993086,14251863.993086,1
2024-07-11 20:00:00,7.2,7.325,7.185,7.325,1375434.9437,10007149.3048219,10007149.3048219,1
2024-07-11 16:00:00,7.157,7.24,7.126,7.199,1422880.8806,10229242.1955668,10229242.1955668,1
2024-07-11 12:00:00,7.195,7.29,7.131,7.157,2310119.8603,16673731.4653207,16673731.4653207,1
2024-07-11 08:00:00,7.17,7.201,7.133,7.195,803759.9305,5758647.5236287,5758647.5236287,1
2024-07-11 04:00:00,7.165,7.192,7.116,7.169,688561.3318,4927412.929815,4927412.929815,1
2024-07-11 00:00:00,7.228,7.256,7.117,7.166,851766.7506,6121090.9448718,6121090.9448718,1
2024-07-10 20:00:00,7.22,7.238,7.162,7.23,652958.8657,4700674.5716113,4700674.5716113,1
2024-07-10 16:00:00,7.277,7.302,7.215,7.22,560662.018,4068039.1421599,4068039.1421599,1
2024-07-10 12:00:00,7.329,7.342,7.2,7.276,1299994.4848,9458260.8296299,9458260.8296299,1
